	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0333008"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077973"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0335382"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078004"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086238"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0344877"	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086475"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086482"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086499"	0.39	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.09	0.00	0.18	0.00	0.00
"FBtr0345818"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086727"	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	1.63	3.48	1.79	0.00
"FBtr0086667"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086666"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.63	0.00	0.00
"FBtr0086665"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00
"FBtr0340328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086763"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087032"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087406"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087581"	36.11	30.47	18.57	29.35	26.35	30.04	7.61	5.73	12.71	40.95	41.28	40.45	41.39	44.35	25.31
"FBtr0087601"	0.52	3.32	4.00	0.31	0.60	0.04	1.51	0.93	2.09	0.49	0.29	0.17	0.70	0.86	2.02
"FBtr0339763"	0.00	0.03	0.00	0.10	0.03	0.00	0.00	0.00	0.08	0.00	0.00	0.04	0.00	0.40	0.05
"FBtr0339764"	7.92	13.16	15.79	4.89	6.32	3.69	13.25	8.37	11.61	4.19	3.71	4.37	5.13	8.65	13.29
"FBtr0339765"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087739"	185.48	147.13	120.98	143.95	139.91	132.48	173.81	229.90	183.29	219.68	212.54	198.06	173.44	186.13	118.74
"FBtr0087857"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0112772"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345490"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088175"	1.64	2.03	1.90	2.98	1.77	2.56	2.28	1.23	1.72	3.74	0.65	3.19	1.89	1.49	1.48
"FBtr0336733"	0.32	0.07	0.00	0.00	0.38	1.08	0.01	1.70	0.00	0.68	1.91	0.14	0.00	0.06	0.72
"FBtr0088204"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088210"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0333066"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345675"	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
"FBtr0088396"	378.58	268.73	247.26	314.59	289.88	327.79	364.11	518.14	434.68	443.28	412.24	424.33	358.56	417.86	254.78
"FBtr0088397"	116.65	70.17	79.35	88.59	96.61	91.19	97.06	162.03	134.71	120.78	127.74	138.21	116.82	119.97	70.06
"FBtr0339411"	0.47	0.65	0.56	0.48	0.55	0.25	1.42	1.13	0.64	0.71	0.30	0.77	1.14	1.02	0.42
"FBtr0339412"	0.00	0.00	0.00	2.28	4.15	2.95	0.34	0.00	0.00	0.00	0.32	0.38	0.00	0.41	0.00
"FBtr0088557"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088718"	25.52	26.31	22.87	29.15	34.66	32.76	3.55	3.83	4.45	27.01	22.22	27.27	24.91	25.34	24.10
"FBtr0088719"	44.36	45.36	47.85	48.52	41.30	50.72	11.32	7.16	10.08	43.37	43.61	41.75	39.38	41.77	41.75
"FBtr0088720"	4.40	0.00	0.00	5.96	5.98	2.78	0.00	0.00	0.00	2.00	0.00	5.70	0.00	0.00	1.95
"FBtr0088826"	17.95	17.00	11.05	21.01	18.78	20.34	0.79	1.18	1.07	17.84	16.91	15.76	15.35	23.21	13.09
"FBtr0113331"	8.31	5.58	7.09	7.60	5.98	6.57	6.25	6.86	6.15	12.45	15.06	15.84	6.67	8.06	4.58
"FBtr0340658"	0.00	0.00	0.00	0.00	0.34	0.28	0.00	0.00	0.00	0.30	0.00	0.16	0.00	0.34	0.00
"FBtr0301572"	0.00	0.20	0.00	0.00	0.51	0.41	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0299563"	41.67	27.66	22.04	38.65	39.18	39.39	38.59	46.79	42.39	42.99	51.48	49.54	45.87	56.75	26.56
