	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0301307"	0.00	0.00	0.00	0.15	0.00	0.05	0.00	0.00	0.00	0.06	0.00	0.05	0.00	0.00	0.04
"FBtr0301308"	7.57	6.72	2.57	6.76	4.49	7.26	0.70	0.53	1.22	5.74	5.53	3.65	3.95	3.14	4.82
"FBtr0343590"	1.08	0.00	0.23	1.90	1.47	1.15	0.00	0.40	0.54	1.20	2.20	2.02	2.45	1.80	0.32
"FBtr0080033"	56.15	55.40	49.76	58.82	59.91	57.57	80.23	82.40	79.39	57.66	57.64	63.78	54.71	53.30	62.56
"FBtr0076061"	10.14	13.20	14.10	9.81	10.94	9.56	14.67	11.03	13.56	7.56	8.04	9.95	7.70	7.88	14.56
"FBtr0074075"	26.73	31.68	34.51	34.46	36.37	35.33	6.97	4.02	7.03	21.07	20.81	27.07	26.43	29.41	34.57
"FBtr0078043"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301316"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301317"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079800"	0.10	0.00	0.00	0.04	0.06	0.04	0.00	0.03	0.03	0.02	0.02	0.05	0.00	0.03	0.02
"FBtr0079801"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079802"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0303876"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083082"	1.01	2.94	6.95	2.01	2.87	1.00	7.95	1.22	3.35	0.00	0.00	1.84	0.00	0.00	7.38
"FBtr0330039"	1.01	2.94	6.95	2.01	2.87	1.00	7.95	1.22	3.35	0.00	0.00	1.84	0.00	0.00	7.38
"FBtr0334695"	23.94	30.62	32.92	20.11	20.04	20.28	43.39	41.04	45.65	20.68	20.12	17.69	20.49	18.37	20.91
"FBtr0077744"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0335173"	41.65	44.64	47.67	49.80	49.52	51.49	3.59	3.08	3.83	33.94	29.96	35.53	39.29	48.72	45.91
"FBtr0100436"	214.38	230.78	244.09	200.96	203.68	192.87	358.44	349.76	353.41	194.85	185.37	190.65	183.74	155.01	254.87
"FBtr0100437"	8.91	13.54	13.05	8.30	13.14	10.41	18.09	17.08	16.63	10.44	8.54	9.42	12.75	9.98	20.20
"FBtr0100438"	2.78	4.66	4.79	3.24	7.01	3.87	6.38	5.20	4.38	4.25	2.53	0.44	2.67	2.88	9.76
"FBtr0100440"	0.22	0.00	0.00	0.19	0.17	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.20
"FBtr0332946"	1.65	1.59	0.78	0.80	1.28	1.10	1.12	1.58	1.68	1.12	0.36	0.80	1.22	0.79	1.59
"FBtr0085094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0334309"	0.07	0.00	0.06	0.06	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.07	0.07	0.00
"FBtr0081628"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.00	0.02	0.02	0.00	0.00
"FBtr0081699"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0337022"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301623"	212.10	200.77	180.98	264.09	240.73	278.46	241.25	297.81	269.52	269.82	291.35	260.52	283.40	259.98	193.25
"FBtr0346140"	41.24	37.76	35.46	53.17	56.00	53.43	43.13	47.34	41.50	29.39	40.07	30.54	5.74	6.46	7.48
"FBtr0072915"	23.60	25.21	18.25	32.55	33.44	30.74	33.27	40.16	30.80	37.20	36.42	33.77	33.92	25.61	37.86
"FBtr0346076"	5.74	4.17	3.59	6.09	8.34	9.51	10.86	8.12	13.59	2.36	2.31	2.10	8.53	11.31	3.24
"FBtr0088041"	0.06	2.11	3.42	4.86	3.21	4.97	2.43	1.79	0.08	0.87	0.06	2.29	2.34	3.50	0.00
"FBtr0088042"	26.91	37.26	41.61	23.86	27.19	24.01	25.66	17.18	24.70	20.63	16.86	20.85	20.82	23.11	40.47
"FBtr0346629"	7.01	5.65	5.93	3.04	5.27	3.16	5.98	5.01	8.06	5.56	5.11	4.31	5.03	3.08	9.65
"FBtr0074276"	4.99	10.67	12.56	3.38	5.21	1.37	15.00	8.91	14.05	2.95	1.99	2.84	3.98	4.83	8.39
"FBtr0290069"	0.00	0.05	0.06	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343571"	17.98	33.24	44.70	12.71	16.78	11.45	48.16	33.47	43.75	11.89	9.26	10.04	12.83	17.66	31.32
"FBtr0084536"	22.94	19.92	24.13	30.26	24.31	21.94	26.20	20.90	25.08	25.27	22.49	30.87	23.18	18.15	30.30
"FBtr0084537"	76.81	73.27	72.68	99.94	98.11	109.97	56.63	45.83	54.58	70.38	74.01	73.12	79.94	63.70	76.59
"FBtr0084538"	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331677"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346586"	6.10	15.55	22.47	3.45	4.62	2.76	22.25	12.07	20.23	2.78	2.72	3.18	3.60	7.50	11.72
"FBtr0071573"	43.05	44.38	41.17	44.52	47.39	46.55	61.07	65.90	65.25	41.69	47.63	43.12	46.41	40.87	41.06
"FBtr0073157"	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0333140"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00
"FBtr0072912"	16.92	14.37	13.93	22.26	19.46	22.15	8.50	7.81	9.05	19.30	24.78	25.45	20.78	18.73	20.62
"FBtr0308230"	0.00	0.00	0.00	0.00	0.00	0.29	0.32	0.00	0.00	0.70	0.00	0.09	1.37	0.00	0.00
"FBtr0308231"	0.00	0.00	0.29	0.98	0.68	0.00	0.00	0.00	0.19	0.00	0.00	0.26	0.29	0.17	0.26
"FBtr0085553"	17.10	17.79	23.63	16.26	15.61	16.05	39.20	25.92	31.15	17.63	14.40	12.83	13.01	12.07	25.41
"FBtr0085554"	2.17	11.12	11.48	6.65	7.95	2.85	10.81	3.16	7.57	1.44	1.68	5.77	5.11	1.51	11.23
"FBtr0085555"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290030"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300600"	1.01	1.73	2.33	0.87	0.70	0.97	1.22	1.18	1.16	0.39	0.80	1.07	0.45	1.33	1.40
"FBtr0334702"	4.74	1.07	0.00	0.20	2.40	0.75	0.00	5.80	8.64	0.47	0.00	0.19	0.94	3.56	0.00
"FBtr0334703"	0.52	1.99	0.96	2.31	2.44	4.91	6.07	5.94	3.78	3.20	4.23	1.90	4.31	2.94	2.13
"FBtr0084552"	15.69	28.46	34.35	20.67	22.87	7.92	39.30	11.97	38.65	0.09	0.00	10.58	8.27	5.39	22.62
"FBtr0445404"	0.61	0.00	0.00	0.48	1.74	0.54	3.19	2.43	1.91	0.00	0.71	1.03	0.52	0.00	0.92
"FBtr0445405"	20.94	15.18	17.35	20.54	19.10	31.15	27.28	35.76	25.82	28.08	26.72	20.55	20.75	20.41	23.09
"FBtr0089050"	8.06	7.86	8.05	7.13	5.74	6.56	0.37	0.67	0.62	5.24	6.80	5.12	8.54	11.52	8.46
"FBtr0083179"	27.05	35.28	38.66	16.98	23.49	14.89	59.72	41.65	49.85	19.38	15.88	17.89	16.06	14.19	34.00
"FBtr0334593"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345238"	3.86	6.16	3.60	5.66	4.04	5.49	10.43	8.23	11.88	4.83	4.26	5.24	6.40	5.87	7.60
"FBtr0087862"	32.52	34.38	31.25	45.68	41.13	44.60	32.72	33.29	34.41	41.79	37.15	34.15	36.49	30.92	30.51
"FBtr0087863"	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087864"	13.28	7.50	13.02	16.00	18.51	19.97	16.65	17.22	15.84	12.71	11.88	17.43	12.59	11.93	12.46
"FBtr0302455"	0.00	1.36	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00
"FBtr0089949"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089950"	25.66	16.55	17.84	17.84	22.61	17.37	3.79	1.66	0.00	24.73	16.52	24.95	10.12	4.53	17.14
"FBtr0089951"	1.54	16.17	11.73	10.61	9.85	14.96	4.62	4.10	10.55	0.00	5.90	5.12	17.94	24.88	16.14
"FBtr0089952"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.06	0.12	0.00
"FBtr0089953"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089955"	0.96	1.56	0.74	2.63	1.77	0.85	0.00	0.00	0.93	0.92	1.16	0.39	0.47	0.61	1.13
"FBtr0302613"	0.45	0.31	0.76	0.26	0.66	0.19	0.25	0.68	0.05	0.24	0.30	0.88	0.24	0.50	0.44
"FBtr0302614"	34.08	46.26	49.27	24.90	31.23	27.00	16.19	11.39	15.04	19.12	17.99	26.57	24.19	29.15	49.63
"FBtr0302615"	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0302616"	0.09	0.14	0.06	0.00	0.00	0.06	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.05
"FBtr0306654"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00
"FBtr0332445"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0332446"	0.00	0.00	0.00	0.00	0.11	0.00	0.13	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00
"FBtr0075019"	39.69	43.72	42.15	42.88	39.90	37.40	29.58	22.71	25.40	39.39	34.36	38.34	47.85	51.74	48.80
"FBtr0075020"	41.69	45.85	42.26	41.85	44.43	44.42	31.48	21.48	24.96	35.82	37.63	40.51	33.40	22.60	45.74
"FBtr0075021"	10.55	7.15	7.99	4.74	8.81	7.49	4.49	6.37	7.37	9.39	5.63	7.75	8.19	7.78	9.41
"FBtr0083114"	23.56	26.62	24.30	26.57	26.48	26.49	2.51	1.41	2.48	20.61	20.61	25.37	23.68	27.36	25.68
"FBtr0074084"	10.12	10.95	7.73	17.98	13.53	17.09	0.80	1.29	0.00	10.50	13.02	13.13	10.59	15.34	9.57
"FBtr0332613"	3.01	0.44	1.17	2.82	2.84	3.12	0.00	0.26	1.74	0.97	0.67	0.56	2.49	3.27	1.48
"FBtr0071234"	14.84	17.91	20.47	19.94	23.37	21.85	7.22	5.80	8.19	11.03	12.60	14.09	14.43	17.83	18.53
"FBtr0070782"	17.30	18.29	18.25	21.93	20.89	21.39	4.71	3.38	5.22	17.00	15.92	14.00	20.82	21.21	20.16
"FBtr0073900"	7.88	11.69	16.13	6.78	7.36	5.20	17.07	12.78	16.73	6.11	6.50	6.02	7.05	6.88	10.34
"FBtr0073901"	6.13	8.14	7.23	7.12	6.17	6.77	16.28	12.50	15.81	5.89	6.47	6.40	5.06	6.25	7.35
"FBtr0079703"	66.38	63.41	57.26	77.30	72.90	63.66	15.72	11.54	17.79	75.92	61.89	69.74	85.48	103.98	83.53
"FBtr0079704"	0.00	0.00	4.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00
"FBtr0302160"	0.00	0.09	0.10	0.00	0.08	0.00	0.00	0.00	0.00	0.10	0.00	0.09	0.29	0.00	0.00
"FBtr0340242"	21.68	19.07	9.39	7.23	7.71	20.12	4.60	2.82	2.02	19.94	22.60	14.23	15.50	4.70	2.52
"FBtr0086975"	0.09	0.19	0.05	0.00	0.06	0.07	0.06	0.09	0.00	0.11	0.09	0.05	0.00	0.09	0.02
"FBtr0088850"	18.48	23.31	28.30	20.32	23.09	17.37	28.14	21.00	27.85	14.45	14.60	17.15	16.55	17.86	25.93
"FBtr0083113"	97.34	82.54	70.26	81.90	77.72	82.87	88.45	125.54	103.71	106.95	116.48	101.16	117.23	113.33	82.39
"FBtr0112926"	126.15	98.93	79.98	118.26	113.92	113.06	122.83	158.14	131.02	169.92	143.48	144.69	133.78	143.33	130.37
"FBtr0075605"	103.49	90.45	73.47	108.21	99.88	100.01	8.77	8.27	10.12	111.38	110.32	102.91	111.26	126.69	90.53
"FBtr0087852"	81.38	68.39	58.15	73.95	75.30	80.31	105.50	127.44	117.16	98.77	111.73	106.82	111.60	106.76	81.87
"FBtr0073789"	81.67	74.51	68.09	73.19	72.88	73.76	68.30	74.42	67.61	89.34	88.24	92.45	86.61	81.71	71.93
"FBtr0100168"	0.17	0.14	0.00	0.00	0.12	0.27	0.00	0.00	0.00	0.60	0.00	0.00	0.33	0.17	0.12
"FBtr0070763"	41.35	40.74	41.45	47.69	47.58	46.78	46.09	46.24	45.75	41.15	40.15	41.50	38.31	31.48	43.11
"FBtr0087076"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079242"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081372"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080502"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346423"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086149"	1.12	1.52	0.96	1.07	0.18	1.07	0.57	0.56	0.00	0.47	0.46	0.45	0.00	0.76	0.19
"FBtr0336666"	41.77	44.10	48.48	47.22	45.35	48.33	10.33	7.20	10.25	29.87	34.72	38.15	37.27	42.60	42.17
"FBtr0089121"	19.91	18.21	19.39	19.09	19.21	23.78	22.13	18.25	14.50	15.34	4.86	9.19	37.97	40.36	46.65
"FBtr0089122"	419.87	374.77	360.43	409.37	397.25	375.78	527.24	570.73	535.86	437.35	391.60	482.64	419.97	357.65	460.05
"FBtr0333679"	21.40	24.91	23.46	15.29	20.97	21.22	34.89	28.56	26.38	31.21	34.25	28.59	14.65	10.24	13.44
"FBtr0077747"	10.17	9.27	6.60	15.75	14.64	14.65	0.71	0.66	0.67	9.14	9.77	10.82	11.70	16.16	9.75
"FBtr0301452"	31.40	33.23	33.59	32.54	32.96	32.58	10.23	7.07	9.62	25.24	26.22	28.96	25.92	26.32	32.09
"FBtr0089106"	16.17	25.52	28.89	12.07	15.49	10.95	37.72	28.05	34.03	10.04	7.56	10.88	10.25	11.75	23.29
"FBtr0333706"	0.00	0.08	0.03	0.00	0.00	0.00	0.07	0.07	0.00	0.00	0.00	0.00	0.00	0.13	0.00
"FBtr0345197"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070253"	0.47	0.31	0.00	0.87	1.02	0.67	0.00	0.00	0.00	0.59	1.42	0.00	1.09	1.18	0.33
"FBtr0300352"	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.23	0.11	0.00	0.00	0.24	0.17	0.00	0.00
"FBtr0339576"	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339577"	0.00	0.00	1.00	0.48	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.00
"FBtr0345508"	0.10	0.22	0.08	0.07	0.22	0.23	0.18	0.00	0.00	0.37	0.44	0.00	0.08	0.00	0.32
"FBtr0070308"	85.43	73.99	66.78	79.15	79.25	88.01	65.41	68.03	67.74	93.32	112.70	101.09	102.09	105.57	82.44
"FBtr0114454"	0.00	0.00	0.00	0.22	0.00	0.24	0.00	0.00	0.62	0.00	0.00	0.00	0.79	0.00	0.74
"FBtr0290198"	0.05	0.00	0.14	0.04	0.16	0.05	0.00	0.00	0.22	0.15	0.00	0.05	0.00	0.05	0.07
"FBtr0070245"	35.24	36.53	35.21	36.88	35.08	36.89	2.29	1.50	2.44	24.17	25.13	25.44	26.75	35.35	33.06
"FBtr0070342"	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00
"FBtr0310443"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070159"	1054.49	856.17	732.17	766.27	778.35	869.31	910.30	1261.48	1006.95	1104.33	1175.32	961.94	870.62	907.67	535.77
"FBtr0080027"	216.10	173.21	157.33	197.96	192.11	190.82	254.44	311.43	251.43	254.56	232.57	227.48	199.38	165.68	213.60
"FBtr0083292"	133.39	122.55	121.17	133.85	136.42	141.55	196.73	210.27	198.68	148.26	156.00	166.70	149.26	140.85	128.07
"FBtr0334535"	23.20	21.51	23.60	28.06	24.35	25.51	35.40	44.54	36.52	30.46	25.12	32.11	31.88	27.61	20.33
"FBtr0088859"	6.34	4.73	5.20	0.00	0.17	0.38	8.19	11.05	7.31	5.32	4.73	6.74	9.88	10.57	13.15
"FBtr0301230"	103.92	95.83	96.77	119.81	115.95	119.75	161.52	171.24	163.99	118.44	127.68	127.08	124.93	113.85	119.64
"FBtr0078269"	103.48	94.13	95.34	124.74	118.35	124.15	148.11	141.73	144.38	112.95	113.08	117.76	99.47	81.95	97.83
"FBtr0075074"	89.85	83.36	87.20	103.92	103.05	103.32	131.37	131.85	128.30	91.54	100.58	104.31	102.36	77.49	96.09
"FBtr0086127"	182.43	182.15	181.03	198.08	194.61	187.34	270.45	270.15	261.39	203.25	184.42	180.83	177.24	131.48	212.30
"FBtr0086129"	2.93	1.06	1.09	1.84	2.93	3.22	1.68	3.83	3.44	1.35	1.85	1.48	2.67	2.01	1.96
"FBtr0086130"	0.00	0.00	0.00	0.17	0.00	0.00	0.22	0.23	0.00	0.00	0.00	0.19	0.45	0.24	0.14
"FBtr0086131"	15.31	14.30	15.53	20.10	15.21	16.68	25.36	24.45	16.45	14.20	13.88	10.96	11.94	12.40	17.07
"FBtr0300285"	0.00	0.00	0.38	0.89	0.00	0.51	0.26	0.49	0.24	0.54	0.19	0.57	0.00	0.00	0.27
"FBtr0332939"	0.47	0.69	0.00	0.00	0.14	0.17	0.22	0.51	0.68	0.44	0.65	0.19	0.43	0.24	0.25
"FBtr0081105"	90.72	91.12	86.14	57.15	59.07	57.79	93.67	95.04	98.84	88.94	80.99	82.24	97.14	97.36	94.12
"FBtr0081106"	0.00	0.00	0.00	2.25	0.50	1.41	0.00	0.00	1.11	1.51	0.00	0.00	0.00	1.55	2.14
"FBtr0081107"	0.00	1.73	3.27	0.00	0.65	1.46	0.00	2.58	0.00	0.00	0.97	1.21	0.00	0.00	0.00
"FBtr0081108"	3.40	0.00	0.00	0.00	1.04	2.91	2.47	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00
"FBtr0071625"	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.00	0.04	0.00	0.00
"FBtr0300818"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087734"	16.13	20.48	24.41	27.65	24.76	24.33	3.03	5.88	4.49	13.55	12.93	20.14	15.50	15.09	17.42
"FBtr0087735"	6.76	7.08	9.34	6.50	10.38	11.89	5.71	0.04	4.26	4.16	5.42	0.70	0.00	3.57	2.51
"FBtr0333148"	0.00	0.44	0.17	0.44	0.73	0.67	0.00	0.21	0.00	0.17	0.00	0.00	0.17	0.18	0.60
"FBtr0075410"	107.31	109.38	111.23	115.95	113.83	122.21	144.73	141.69	142.92	103.79	111.42	114.45	107.84	107.70	99.18
"FBtr0080331"	152.00	145.03	153.08	175.19	172.19	189.26	226.26	209.06	213.95	156.01	158.82	157.45	134.01	119.83	140.63
"FBtr0080332"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080333"	0.00	0.40	0.00	1.13	0.94	0.37	0.00	0.51	0.48	1.96	0.86	0.00	0.00	0.00	1.16
"FBtr0346436"	7.87	6.35	9.23	13.82	12.32	12.58	6.03	7.15	7.05	10.66	7.91	7.67	8.09	8.67	8.67
"FBtr0072948"	21.50	17.73	15.46	21.93	22.56	21.44	19.46	22.43	22.09	23.02	26.20	26.74	25.24	27.44	21.71
"FBtr0333447"	0.35	0.00	0.00	0.30	0.00	0.00	1.08	0.88	0.34	0.38	0.37	0.68	0.00	0.00	0.00
"FBtr0082895"	8.91	6.28	9.30	10.46	10.27	16.69	9.26	13.34	15.69	9.45	11.90	6.51	5.97	5.17	8.16
"FBtr0337021"	10.73	12.00	12.33	15.62	15.65	12.08	22.29	17.82	15.60	10.67	10.66	16.14	15.36	10.67	14.78
"FBtr0347148"	0.04	0.00	0.00	0.00	0.03	0.03	0.00	0.00	0.00	0.04	0.04	0.00	0.04	0.08	0.05
"FBtr0071366"	146.65	150.75	158.78	170.72	169.35	181.63	197.83	179.30	213.30	144.83	148.42	147.16	163.45	170.46	160.16
"FBtr0071367"	0.00	0.56	0.66	1.07	0.51	0.58	0.70	2.51	2.37	1.46	0.00	0.53	0.56	0.54	1.41
"FBtr0303560"	5.90	7.19	6.66	6.71	7.36	8.88	7.60	8.12	6.65	4.07	6.35	6.12	6.14	4.03	4.44
"FBtr0073348"	28.25	28.36	30.05	31.79	32.39	32.96	6.88	4.90	6.10	24.72	25.18	26.56	27.42	29.28	30.77
"FBtr0078498"	37.61	35.24	40.01	36.00	30.98	31.20	68.55	51.06	53.17	35.33	18.21	25.56	22.96	23.45	32.57
"FBtr0078499"	0.00	0.00	0.00	0.00	1.24	0.00	1.67	2.40	0.00	0.00	0.00	1.12	0.00	0.00	1.18
"FBtr0078500"	48.38	57.56	68.05	39.02	48.56	42.03	86.57	77.28	89.19	43.45	47.46	46.18	44.08	32.39	67.44
"FBtr0074593"	85.52	82.16	85.17	87.05	83.18	96.65	63.69	64.78	69.46	72.87	89.00	83.67	90.93	99.62	88.85
"FBtr0333804"	5.09	3.54	4.14	5.68	5.04	4.43	4.07	4.52	4.80	4.55	3.93	4.27	4.07	3.95	4.41
"FBtr0333805"	0.00	1.43	0.55	0.00	0.64	0.00	0.00	0.00	0.00	0.43	0.00	0.00	0.38	1.71	0.00
"FBtr0333806"	0.19	0.15	0.17	0.00	0.25	0.27	0.19	0.56	0.37	0.08	0.35	0.56	0.38	0.60	0.25
"FBtr0075632"	65.39	74.71	73.96	78.62	75.40	79.46	28.20	23.40	25.45	46.40	50.31	55.60	48.43	68.86	62.95
"FBtr0075633"	2.97	4.33	4.39	2.83	3.89	5.88	1.64	0.67	3.16	2.86	3.61	2.05	3.35	4.78	3.66
"FBtr0333934"	1.52	1.32	1.46	0.95	3.12	0.60	0.99	0.00	1.19	0.77	1.49	0.00	1.10	0.79	0.85
"FBtr0084866"	74.21	77.97	85.43	86.82	84.10	87.39	40.42	30.49	35.74	62.11	64.35	68.88	64.64	75.47	78.26
"FBtr0087234"	45.30	46.85	46.11	46.70	48.11	48.25	10.05	8.51	11.08	40.52	43.35	46.59	40.19	45.91	41.44
"FBtr0074178"	85.51	78.11	71.91	85.04	82.39	86.01	18.64	16.39	19.00	75.52	75.46	80.34	73.78	80.21	71.14
"FBtr0079721"	59.28	63.49	71.46	71.22	67.81	72.64	1.43	1.22	1.64	35.20	38.29	37.94	34.55	48.73	49.15
"FBtr0079722"	0.46	0.34	0.34	0.00	0.25	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083283"	288.89	231.11	191.19	279.69	276.49	285.95	211.84	257.31	226.34	308.24	334.22	321.18	299.48	293.97	237.80
"FBtr0100402"	0.02	5.89	7.74	3.17	8.02	8.99	1.39	0.00	0.00	4.22	0.00	1.46	0.00	0.07	6.11
"FBtr0100404"	26.32	26.87	23.52	22.09	22.74	17.55	33.79	33.76	32.22	19.63	14.72	21.23	25.92	25.47	38.42
"FBtr0100406"	10.43	7.33	6.51	6.25	6.27	4.48	10.14	13.58	9.11	10.07	9.47	6.68	6.80	9.91	6.34
"FBtr0071035"	0.14	0.04	0.16	0.11	0.03	0.08	0.00	0.00	0.00	0.13	0.09	0.08	0.09	0.18	0.09
"FBtr0077339"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071005"	40.91	53.12	53.09	44.22	46.75	39.50	92.51	76.44	89.41	57.35	42.26	42.48	47.78	35.00	67.15
"FBtr0071006"	3.58	5.18	3.84	2.32	3.50	3.84	8.90	7.09	6.60	2.95	2.68	2.18	3.03	2.58	2.36
"FBtr0301860"	13.62	11.11	12.40	21.09	23.28	22.63	31.23	19.04	21.08	16.86	10.13	14.80	22.31	12.58	18.97
"FBtr0332314"	0.00	0.00	0.05	0.04	0.02	0.04	0.05	0.03	0.00	0.00	0.06	0.00	0.03	0.00	0.02
"FBtr0083328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331685"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331686"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072504"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072505"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.08	0.00	0.08	0.03	0.04	0.04	0.05
